experiment_name,run_index,log_file,job_date,similarity,temperature,queue_size,hbm,uniformity_weight,uniformity_t,alpha_end,alpha_ramp_epochs,windowed,best_dev_loss,final_dev_loss,eer_asv19,eer_itw,eer_asv5,eer_famous_figures,eer_fakexpose,eer_mlaad,eer_asv21_df,eer_asv21_la
asv5_supcon_geodesic_temp_0.05_uni_weight_0.01_uni_t_0.5,4,asv5_supcon_geodesic_temp_0.05_uni_weight_0.01_uni_t_0.5-40236931.log,2026-01-18 01:47:16,geodesic,0.05,,,0.01,0.5,,,,,,,,,,,,,
asv5_supcon_geodesic_temp_0.05_uni_weight_0.01_uni_t_0.5,5,asv5_supcon_geodesic_temp_0.05_uni_weight_0.01_uni_t_0.5-40237022.log,2026-01-18 01:53:50,geodesic,0.05,,,0.01,0.5,,,,2.8559,3.059,40.92499871927786,,21.916089591332312,,,,47.4043549043549,47.50623547998297
asv5_supcon_geodesic_temp_0.2,1,asv5_supcon_geodesic_temp_0.2-40205175.log,2026-01-17 00:00:04,geodesic,0.2,,,,,,,,3.4208,3.4208,,,,,,,,
asv5_supcon_geodesic_temp_0.2,2,asv5_supcon_geodesic_temp_0.2-40206437.log,2026-01-17 01:24:56,geodesic,0.2,,,,,,,,3.514,3.5918,,,,,,,,
asv5_supcon_geodesic_temp_0.2,3,asv5_supcon_geodesic_temp_0.2-40219499.log,2026-01-17 16:33:23,geodesic,0.2,,,,,,,,3.4376,3.4376,,,,,,,,
asv5_supcon_geodesic_temp_0.2,4,asv5_supcon_geodesic_temp_0.2-40236080.log,2026-01-18 01:02:17,geodesic,0.2,,,,,,,,3.494,3.9798,,,,,,,,
asv5_supcon_geodesic_temp_0.2,5,asv5_supcon_geodesic_temp_0.2-40236949.log,2026-01-18 01:48:47,geodesic,0.2,,,,,,,,,,,,,,,,,
asv5_supcon_geodesic_temp_0.2,6,asv5_supcon_geodesic_temp_0.2-40237019.log,2026-01-18 01:53:50,geodesic,0.2,,,,,,,,2.942,2.942,,,,,,,,
asv5_supcon_temp_0.05,1,asv5_supcon_temp_0.05-40142740.log,2026-01-16 03:01:59,cosine,0.05,,,,,,,,,,,,,,,,,
asv5_supcon_temp_0.2,1,asv5_supcon_temp_0.2-40142621.log,2026-01-16 02:08:04,cosine,0.2,,,,,,,,,,,,,,,,,
asv5_supcon_temp_0.2,2,asv5_supcon_temp_0.2-40142736.log,2026-01-16 03:01:58,cosine,0.2,,,,,,,,,,,,,,,,,
asv5_supcon_temp_0.2,3,asv5_supcon_temp_0.2-40205182.log,2026-01-17 00:00:34,cosine,0.2,,,,,,,,3.4204,3.4204,,,,,,,,
asv5_supcon_temp_0.2,4,asv5_supcon_temp_0.2-40206431.log,2026-01-17 01:24:26,cosine,0.2,,,,,,,,3.4738,3.653,,,,,,,,
asv5_supcon_temp_0.6,1,asv5_supcon_temp_0.6-39934774.log,2026-01-15 06:12:20,cosine,0.6,,,,,,,,,,,,,,,,,
asv5_supcon_temp_0.6,2,asv5_supcon_temp_0.6-40098874.log,2026-01-15 13:57:24,cosine,0.6,,,,,,,,,,,,,,,,,
asv5_supcon_temp_0.6,3,asv5_supcon_temp_0.6-40100181.log,2026-01-15 14:06:03,cosine,0.6,,,,,,,,,,,,,,,,,
asv5_supcon_temp_0.6,4,asv5_supcon_temp_0.6-40100247.log,2026-01-15 14:12:01,cosine,0.6,,,,,,,,,,,,,,,,,
asv5_supcon_temp_0.6,5,asv5_supcon_temp_0.6-40100974.log,2026-01-15 14:25:06,cosine,0.6,,,,,,,,,,,,,,,,,
asv5_supcon_temp_0.6,6,asv5_supcon_temp_0.6-40117641.log,2026-01-15 17:46:31,cosine,0.6,,,,,,,,,,,,,,,,,
